Carrozzeria,id_annuncio,Alimentazione,Tipo di cambio,Tipo di veicolo,Marca,Modello,Porte,Tipo di unita,Cilindrata,Posti a sedere,Cilindri,Colore esterno,Marce,Classe emissioni,Emissioni di CO2,Consumo carburante,Colore originale,Rivestimenti,Tipo di vernice,Peso a vuoto,Usato Garantito,Proprietari,Per neopatentati,Veicolo per non fumatori,Anno,Tagliandi certificati
City car,acf6abc9-4535-451f-b8fd-d08cdfb2cc5e,Benzina,Manuale,KM0,Fiat,500,3,anteriore,1242,4,4,Blu/Azzurro,5,Euro 6,110 g CO2/km (comb.),"4,9 l/100 km (comb.)
6,2 l/100 km (urbano)
4,1 l/100 km (extraurbano)",Blu,,Metallizzato,960,24 mese,,Sì,,2020,
City car,dcfb874a-86a4-4b13-96e6-b486e3102567,Benzina,Manuale,KM0,Fiat,500,3,anteriore,1242,4,4,Bianco,5,Euro 6,110 g CO2/km (comb.),"4,9 l/100 km (comb.)
6,2 l/100 km (urbano)
4,1 l/100 km (extraurbano)",Bianco,,Base,960,24 mese,,Sì,,2020,
City car,602b0e52-e985-47cd-b89c-110f3ca0ea29,Benzina,Manuale,KM0,Fiat,500,3,anteriore,1242,4,4,Bianco,5,,119 g CO2/km (comb.),"5,2 l/100 km (comb.)
6,5 l/100 km (urbano)
4,4 l/100 km (extraurbano)",Bianco,,Base,960,24 mese,,Sì,,2020,
City car,0ec0f97b-2443-4106-9b3e-75cdf6050c75,Benzina,Manuale,KM0,Fiat,500,3,anteriore,1242,4,4,Bianco,5,Euro 6,108 g CO2/km (comb.),"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",Bianco,"Stoffa, Grigio",Base,960,,,Sì,,2020,
City car,373cc82a-7715-44fd-8d6c-9a729ee0d731,Benzina,Manuale,KM0,Abarth,595,3,anteriore,1368,4,4,Nero,5,Euro 6d-TEMP,158 g CO2/km (comb.),"6,9 l/100 km (comb.)
8,9 l/100 km (urbano)
5,8 l/100 km (extraurbano)",Nero,"Stoffa, Nero",Base,1120,20 mese,,,,2020,
City car,4191b219-4e92-4bd5-bdd7-a97fb1a7c686,Benzina,Automatico,KM0,Fiat,500,3,anteriore,1242,4,4,Bianco,5,Euro 6,114 g CO2/km (comb.),"4,9 l/100 km (comb.)
5,8 l/100 km (urbano)
4,5 l/100 km (extraurbano)",Bianco Gelato,"Stoffa, Grigio",Base,1050,23 mese,,Sì,,2020,
City car,41fc7af6-7836-466f-846b-d09460952e32,Benzina,Automatico,KM0,Fiat,500,3,anteriore,1242,4,4,Nero,5,Euro 6,114 g CO2/km (comb.),"4,9 l/100 km (comb.)
5,8 l/100 km (urbano)
4,5 l/100 km (extraurbano)",Nero Vesuvio,"Stoffa, Grigio",Metallizzato,1050,23 mese,,Sì,,2020,
City car,add19b14-0c3b-4cce-b4c1-d460915ef8fc,Benzina,Manuale,KM0,Fiat,Panda,5,4x4,2,4,2,Grigio,6,Euro 6,116 g CO2/km (comb.),"4,4 l/100 km (comb.)
6,7 l/100 km (urbano)
5,1 l/100 km (extraurbano)",Grigio Maestro,"Stoffa, Grigio",,1090,23 mese,1,,,2020,Sì
City car,5f191510-509f-4b2e-ae61-3fe991e918e9,Benzina,Manuale,KM0,Fiat,Panda,5,4x4,2,4,2,Grigio,6,Euro 6,116 g CO2/km (comb.),"4,4 l/100 km (comb.)
6,7 l/100 km (urbano)
5,1 l/100 km (extraurbano)",Grigio Maestro,"Stoffa, Grigio",,1090,23 mese,1,,,2020,Sì
City car,bad4b5e0-6138-4e09-941b-5e88ce269555,Benzina,Manuale,KM0,Peugeot,208,5,anteriore,1199,5,3,Grigio,6,Euro 6d-TEMP,97 g CO2/km (comb.),"4,2 l/100 km (comb.)
5,2 l/100 km (urbano)
3,7 l/100 km (extraurbano)",Grigio,"Altro, Nero",Metallizzato,,12 mese,,,Sì,2020,
City car,c52ac7dd-5b7c-4670-b5ea-cac356f9620a,Benzina,Manuale,KM0,MINI,One,5,anteriore,1499,5,,Bianco,,,116 g CO2/km (comb.),"5,1 l/100 km (comb.)
6,6 l/100 km (urbano)
4,3 l/100 km (extraurbano)",PEPPER WHITE PASTELLO,"Altro, Altro",Base,,,,,,2020,
City car,338b93a6-a5d0-4424-b3df-0b8e564da3c2,Benzina,Manuale,KM0,Peugeot,208,5,anteriore,1199,5,,Bianco,5,Euro 6,94 g CO2/km (comb.),"4,1 l/100 km (comb.)
4,8 l/100 km (urbano)
3,7 l/100 km (extraurbano)",Bianco Banchisa,"Stoffa, Grigio",Metallizzato,,24 mese,,,,2020,
City car,a14d400a-eba8-4767-afa4-456150f4367d,Benzina,Manuale,KM0,Fiat,500,,anteriore,1242,,,Blu/Azzurro,,Euro 6,,,Blu,Altro,Metallizzato,,,,,,2020,
City car,f2ac6503-f612-41f5-9ed3-5bdaae0f5865,Benzina,Manuale,KM0,Fiat,500,,anteriore,1242,,,Bianco,,Euro 6,,,Bianco,Altro,Metallizzato,,,,,,2020,
City car,778f9947-7e71-4d9c-9e05-d2fcbb3b21b4,Benzina,Manuale,KM0,Fiat,500,,anteriore,1242,,,Bianco,,Euro 6,,,Bianco,Altro,Metallizzato,,,,,,2020,
City car,30e0cdb3-ff52-40f6-865d-73c8717d4fc1,Benzina,Manuale,KM0,Fiat,500,,anteriore,1242,,,Nero,,Euro 6,,,Nero,Altro,Metallizzato,,,,,,2020,
City car,4f2ae7f6-1853-48fe-9454-c4684a61848f,Benzina,Manuale,KM0,Fiat,500,,anteriore,1242,,,Nero,,Euro 6,,,Nero,Altro,Metallizzato,,,,,,2020,
City car,9b84c6b3-197e-4e1b-9714-c748b68d426c,Benzina,Manuale,KM0,Fiat,500,,anteriore,1242,,,Rosso,,Euro 6,,,Rosso,Altro,Metallizzato,,,,,,2020,
City car,6486c83e-66b0-47ea-ad1d-932f0d40e794,Benzina,Manuale,KM0,Fiat,500,,anteriore,1242,,,Nero,,Euro 6,,,Nero,Altro,Metallizzato,,,,,,2020,
City car,df69c873-77ca-4ea7-b98d-258e3563d603,Benzina,Manuale,KM0,Fiat,500,,anteriore,1242,,,Rosso,,Euro 6,,,Rosso,Altro,Metallizzato,,,,,,2020,
City car,a69bfcc0-16b1-487f-8c76-2c41eb7edfef,Benzina,Manuale,KM0,Fiat,500,,anteriore,1242,,,Nero,,Euro 6,,,Nero,Altro,Metallizzato,,,,,,2020,
City car,5405508a-f2d9-411d-9253-34c8c11121dd,Benzina,Manuale,KM0,Fiat,500,,anteriore,1242,,,Grigio,,Euro 6,,,Grigio Chiaro,Altro,Metallizzato,,,,,,2020,
City car,e8bc6e0a-33d9-424d-ac79-147956828107,Benzina,Manuale,KM0,Fiat,500,,anteriore,1242,,,Grigio,,Euro 6,,,Grigio Chiaro,Altro,Metallizzato,,,,,,2020,
City car,5ba0491b-9eff-41e1-a310-1ca714b18f28,Benzina,Manuale,KM0,Fiat,500,,anteriore,1242,,,Bianco,,Euro 6,,,Bianco,Altro,Metallizzato,,,,,,2020,
City car,f65ac475-b74d-4b9b-b299-e90427fc9491,Benzina,Manuale,KM0,Fiat,500,,anteriore,1242,,,Bianco,,Euro 6,,,Bianco,Altro,Metallizzato,,,,,,2020,
City car,c8978f50-f0ab-4163-beb6-e2d34b02bdd1,Benzina,Manuale,KM0,Renault,Twingo,5,posteriore,999,4,3,Bianco,5,Euro 6d-TEMP,100 g CO2/km (comb.),"4,4 l/100 km (comb.)
5 l/100 km (urbano)
4 l/100 km (extraurbano)",,"Pelle parziale, Nero",,989,22 mese,1,Sì,,2020,
City car,b94d54df-7f65-4035-b6f5-b5b57fc18bd4,Benzina,Manuale,KM0,Volkswagen,up!,5,anteriore,999,4,3,Argento,5,,100 g CO2/km (comb.),"4,4 l/100 km (comb.)
5,3 l/100 km (urbano)
3,8 l/100 km (extraurbano)",,"Stoffa, Altro",,,Sì,,,,2020,
City car,97cd67b6-1c40-4c46-99bd-7925c26f72d2,Benzina,Manuale,KM0,Fiat,Panda,5,anteriore,4,4,4,Blu/Azzurro,5,Euro 6,111 g CO2/km (comb.),"4,3 l/100 km (comb.)
5,8 l/100 km (urbano)
4,9 l/100 km (extraurbano)",Blu Mediterraneo,"Stoffa, Nero",,980,22 mese,1,Sì,,2020,Sì
City car,311b5bf0-248c-40cb-8e4d-c4fe117ac9ec,Benzina,Manuale,KM0,Fiat,Panda,5,anteriore,4,4,4,Bianco,5,Euro 6,111 g CO2/km (comb.),"4,3 l/100 km (comb.)
5,8 l/100 km (urbano)
4,9 l/100 km (extraurbano)",Bianco Gelato,"Stoffa, Nero",,980,22 mese,1,Sì,Sì,2020,Sì
City car,fb2c9a41-1fe7-43ae-88c5-391b3519cbb5,Benzina,Manuale,KM0,Fiat,Panda,5,anteriore,4,4,4,Blu/Azzurro,5,Euro 6,111 g CO2/km (comb.),"4,3 l/100 km (comb.)
5,8 l/100 km (urbano)
4,9 l/100 km (extraurbano)",Blu Mediterraneo,"Stoffa, Nero",,980,22 mese,1,Sì,,2020,Sì
City car,5af4483f-1edb-469c-a62b-90e91b725024,Benzina,Manuale,KM0,Fiat,Panda,5,anteriore,4,4,4,Bianco,5,Euro 6,111 g CO2/km (comb.),"4,3 l/100 km (comb.)
5,8 l/100 km (urbano)
4,9 l/100 km (extraurbano)",Bianco Gelato,"Stoffa, Nero",,980,22 mese,1,Sì,Sì,2020,Sì
City car,856fc6a9-4947-4954-bfb5-d41c8d784d9a,Benzina,Automatico,KM0,Fiat,500,3,anteriore,1242,4,4,Blu/Azzurro,5,Euro 6,114 g CO2/km (comb.),"4,9 l/100 km (comb.)
5,8 l/100 km (urbano)
4,5 l/100 km (extraurbano)",Blu,,Metallizzato,1050,12 mese,,Sì,,2020,
City car,170d8d01-3b1b-49cc-ba4c-97bd6061bcc4,Benzina,Manuale,KM0,Fiat,500,3,anteriore,875,4,2,Blu/Azzurro,5,Euro 6,108 g CO2/km (comb.),"4,7 l/100 km (comb.)
5,5 l/100 km (urbano)
4 l/100 km (extraurbano)",Blu,,Metallizzato,1005,,,,,2020,
City car,6298362c-cd3f-44b7-88c4-6846e745fb4e,Benzina,Manuale,KM0,Fiat,500,3,anteriore,999,4,3,Grigio,6,Euro 6d-TEMP,88 g CO2/km (comb.),"3,9 l/100 km (comb.)
4,7 l/100 km (urbano)
3,4 l/100 km (extraurbano)",Grigio,"Stoffa, Beige",Metallizzato,1055,24 mese,,Sì,,2020,
City car,79b3782d-5ac5-400b-bd9c-42789b0da71d,Benzina,Manuale,KM0,Fiat,500,3,anteriore,999,4,3,Blu/Azzurro,6,Euro 6d-TEMP,88 g CO2/km (comb.),"3,9 l/100 km (comb.)
4,7 l/100 km (urbano)
3,4 l/100 km (extraurbano)",Blu,"Stoffa, Beige",Metallizzato,1055,24 mese,,Sì,,2020,
City car,476edd02-782a-4fd7-b91e-e483d27d4ffe,Benzina,Manuale,KM0,Fiat,500,3,anteriore,1242,4,4,Bianco,5,Euro 6,108 g CO2/km (comb.),"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",Bianco,"Stoffa, Nero",Base,960,,,Sì,,2020,
City car,c3df1a92-99ac-44b9-bcb4-31c3428266d5,Benzina,Automatico,KM0,Fiat,500,3,anteriore,1242,4,4,Grigio,5,Euro 6d-TEMP,114 g CO2/km (comb.),"4,9 l/100 km (comb.)
5,8 l/100 km (urbano)
4,5 l/100 km (extraurbano)",Grigio,"Pelle parziale, Nero",Metallizzato,1050,24 mese,,Sì,,2020,
City car,6d147d6f-3b14-4aab-b947-44ba32c9072f,Benzina,Manuale,KM0,Fiat,500,3,anteriore,1242,4,4,Grigio,5,Euro 6d-TEMP,119 g CO2/km (comb.),"5,2 l/100 km (comb.)
6,5 l/100 km (urbano)
4,4 l/100 km (extraurbano)",Grigio,"Altro, Nero",,,24 mese,,,Sì,2020,
City car,7610ae3f-5fc5-4956-96a5-841a9be66fc5,Benzina,Manuale,KM0,Ford,Fiesta,5,anteriore,3,5,3,Blu/Azzurro,6,Euro 6,94 g CO2/km (comb.),"3,6 l/100 km (comb.)
5 l/100 km (urbano)
4,1 l/100 km (extraurbano)",Chrome Blue,"Stoffa, Nero",,1088,22 mese,1,,,2020,Sì
City car,647948e2-ea11-4de3-8d6b-ba53f1737079,Benzina,Manuale,KM0,Ford,Fiesta,5,anteriore,3,5,3,Argento,6,Euro 6,94 g CO2/km (comb.),"3,6 l/100 km (comb.)
5 l/100 km (urbano)
4,1 l/100 km (extraurbano)",Moondust Silver,"Stoffa, Nero",,1088,22 mese,1,,,2020,Sì
City car,a4f257b9-7da8-43b9-8672-35f677a582ca,Benzina,Manuale,KM0,Ford,Fiesta,5,anteriore,3,5,3,Blu/Azzurro,6,Euro 6,94 g CO2/km (comb.),"3,6 l/100 km (comb.)
5 l/100 km (urbano)
4,1 l/100 km (extraurbano)",Chrome Blue,"Stoffa, Nero",,1088,22 mese,1,,,2020,Sì
City car,a38144a1-1e32-4aef-9d91-786a3e07aef1,Benzina,Manuale,KM0,Ford,Fiesta,5,anteriore,3,5,3,Argento,6,Euro 6,94 g CO2/km (comb.),"3,6 l/100 km (comb.)
5 l/100 km (urbano)
4,1 l/100 km (extraurbano)",Moondust Silver,"Stoffa, Nero",,1088,22 mese,1,,,2020,Sì
City car,c388da07-cbc5-43fa-8175-1ba3f35360b5,Benzina,Manuale,KM0,Lancia,Ypsilon,5,anteriore,1242,4,4,Bianco,5,Euro 6d-TEMP,128 g CO2/km (comb.),"5,5 l/100 km (comb.)
6,8 l/100 km (urbano)
4,7 l/100 km (extraurbano)",BIANCO NEVE,"Stoffa, Nero",,1040,,1,Sì,Sì,2020,
City car,8b80415d-beaa-4e0d-bb7a-18497076d20d,Benzina,Manuale,KM0,Lancia,Ypsilon,5,anteriore,1242,4,4,Rosso,5,Euro 6d-TEMP,119 g CO2/km (comb.),"5,3 l/100 km (comb.)
6,7 l/100 km (urbano)
4,5 l/100 km (extraurbano)",ROSSO ARGILLA,"Stoffa, Nero",,1040,,1,Sì,Sì,2020,
City car,bff00889-197e-43d5-8dab-c4e1e320b676,Benzina,Manuale,KM0,Abarth,695,3,anteriore,1368,4,4,Bianco,5,Euro 6,155 g CO2/km (comb.),"6,8 l/100 km (comb.)
8,7 l/100 km (urbano)
5,7 l/100 km (extraurbano)",Bianco,,Base,1140,,,,,2020,
City car,9513c44a-cbee-4538-87b5-dc403ac327aa,Benzina,Manuale,KM0,Abarth,595,3,anteriore,1368,4,4,Bianco,5,Euro 6d,139 g CO2/km (comb.),"6 l/100 km (comb.)
7,9 l/100 km (urbano)
4,9 l/100 km (extraurbano)",Bianco,"Pelle parziale, Nero",Base,1110,24 mese,1,,Sì,2019,
City car,03513c65-a62a-46cc-9938-7ebfdc7d4589,Benzina,Automatico,KM0,Fiat,500,3,anteriore,1242,4,4,Bianco,5,Euro 6d-TEMP,114 g CO2/km (comb.),"4,9 l/100 km (comb.)
5,8 l/100 km (urbano)
4,5 l/100 km (extraurbano)",Bianco,Nero,Base,1050,24 mese,,Sì,,2020,
City car,e561c02c-c117-474f-a820-f12411296c25,Benzina,Manuale,KM0,Fiat,500,3,anteriore,1242,4,4,Bianco,5,Euro 6,108 g CO2/km (comb.),"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",Bianco,,Base,960,Sì,,Sì,,2020,
City car,668a4460-20f9-47a5-ad26-f89bbbc099a1,Benzina,Manuale,KM0,Fiat,500,3,anteriore,1242,4,4,Bianco,5,Euro 6,123 g CO2/km (comb.),"5,3 l/100 km (comb.)
6,6 l/100 km (urbano)
4,5 l/100 km (extraurbano)",,"Pelle scamosciata, Nero",,,,,,,2019,
City car,bffbfe8e-cbd9-424a-8bd2-9754610549ee,Benzina,Manuale,KM0,Fiat,Panda,5,4x4,2,4,2,Verde,6,Euro 6,116 g CO2/km (comb.),"4,4 l/100 km (comb.)
6,7 l/100 km (urbano)
5,1 l/100 km (extraurbano)",Verde Toscana,"Stoffa, Grigio",,1090,23 mese,1,,,2020,Sì
City car,5600f23e-d7f0-4a3f-9bd1-57bf1888ed54,Benzina,Manuale,KM0,Fiat,Panda,5,4x4,2,4,2,Verde,6,Euro 6,116 g CO2/km (comb.),"4,4 l/100 km (comb.)
6,7 l/100 km (urbano)
5,1 l/100 km (extraurbano)",Verde Toscana,"Stoffa, Grigio",,1090,23 mese,1,,,2020,Sì
City car,3d6eb0d0-e0bb-4b86-be75-5990ab2f9cee,Benzina,Manuale,KM0,Fiat,500,3,anteriore,875,4,2,Blu/Azzurro,5,Euro 6,108 g CO2/km (comb.),"4,7 l/100 km (comb.)
5,5 l/100 km (urbano)
4 l/100 km (extraurbano)",Blu,,Metallizzato,1005,,,,,2020,
City car,50f6642f-c163-43ec-a333-8d88349b6da5,Benzina,Manuale,KM0,Fiat,500,3,anteriore,1242,4,4,Grigio,5,Euro 6,108 g CO2/km (comb.),"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",Antracite,,Metallizzato,960,,,Sì,,2020,
City car,76e0d60c-1b6f-499d-991d-777098959a85,Benzina,Manuale,KM0,Fiat,500,3,anteriore,1242,4,4,Bianco,5,Euro 6d-TEMP,116 g CO2/km (comb.),"5 l/100 km (comb.)
6,3 l/100 km (urbano)
4,2 l/100 km (extraurbano)",Bianco,"Stoffa, Grigio",Base,960,24 mese,,Sì,,2019,
City car,7dec98bc-8bab-4016-8285-d70ea5298fd5,Benzina,Automatico,KM0,Fiat,500,3,anteriore,1242,4,,Grigio,5,Euro 6,114 g CO2/km (comb.),"4,9 l/100 km (comb.)
5,8 l/100 km (urbano)
4,5 l/100 km (extraurbano)",GRIGIO COLOSSEO,"Stoffa, Grigio",Metallizzato,,24 mese,,,,2020,
City car,b1bbadb9-ded1-4891-8c53-1e6606a65c67,Benzina,Automatico,KM0,Fiat,500,3,anteriore,1242,4,4,Blu/Azzurro,5,Euro 6,114 g CO2/km (comb.),"4,9 l/100 km (comb.)
5,8 l/100 km (urbano)
4,5 l/100 km (extraurbano)",Blu,"Stoffa, Grigio",Metallizzato,1050,24 mese,,Sì,,2020,
City car,64ff8540-64d1-4f62-b0b9-bd7e51703e27,Benzina,Manuale,KM0,Abarth,695,3,anteriore,1368,4,4,Nero,5,Euro 6,155 g CO2/km (comb.),"6,8 l/100 km (comb.)
8,7 l/100 km (urbano)
5,7 l/100 km (extraurbano)",Nero,,Base,1140,,,,,2020,
City car,91eff41c-0971-4bcb-8b49-4b812263c24c,Benzina,Manuale,KM0,Fiat,500L,5,anteriore,4,5,4,Nero,6,Euro 6,142 g CO2/km (comb.),"5,6 l/100 km (comb.)
8,7 l/100 km (urbano)
6,2 l/100 km (extraurbano)",Nero Cinema,"Pelle totale, Nero",,1320,23 mese,1,Sì,,2020,Sì
City car,f6c65466-a113-422f-9b68-fc39e3918455,Benzina,Manuale,KM0,Fiat,500L,5,anteriore,4,5,4,Nero,6,Euro 6,142 g CO2/km (comb.),"5,6 l/100 km (comb.)
8,7 l/100 km (urbano)
6,2 l/100 km (extraurbano)",Nero Cinema,"Pelle totale, Nero",,1320,23 mese,1,Sì,,2020,Sì
City car,5a19f57e-fd44-4bad-97fa-f19d22b492f5,Benzina,Manuale,KM0,Fiat,500,3,anteriore,1242,4,4,Bianco,5,Euro 6d-TEMP,119 g CO2/km (comb.),"5,2 l/100 km (comb.)
6,5 l/100 km (urbano)
4,4 l/100 km (extraurbano)",Bianco,"Stoffa, Nero",Base,960,,,Sì,,2020,
City car,09858fa7-b0b3-478f-b473-b39da3b9f773,Benzina,Manuale,KM0,Fiat,500,3,anteriore,1242,4,4,Bianco,5,Euro 6,108 g CO2/km (comb.),"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",Bianco,"Stoffa, Nero",Base,960,,,Sì,,2020,
City car,bbcf028c-1230-4a5e-9512-2b0bab7eeebc,Benzina,Manuale,KM0,Fiat,500,3,anteriore,1242,4,4,Grigio,5,Euro 6,108 g CO2/km (comb.),"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",Antracite,"Stoffa, Nero",Metallizzato,960,,,Sì,,2020,
City car,eca3dc61-55eb-4808-9271-8d47e65d4dad,Benzina,Manuale,KM0,Fiat,500,3,anteriore,1242,4,4,Blu/Azzurro,5,Euro 6,108 g CO2/km (comb.),"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",Blu,"Stoffa, Nero",Metallizzato,960,,,Sì,,2020,
City car,8882527b-d515-4d91-8566-231a502661cb,Benzina,Manuale,KM0,Fiat,500,3,anteriore,1242,4,4,Rosso,5,Euro 6,108 g CO2/km (comb.),"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",Bordeaux,Stoffa,Metallizzato,960,,,Sì,,2020,
City car,5bcdfdc2-50de-4d39-ac90-db98701a99e4,Benzina,Manuale,KM0,Fiat,500,3,anteriore,1242,4,4,Blu/Azzurro,5,Euro 6,108 g CO2/km (comb.),"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",Blu,"Stoffa, Nero",Metallizzato,960,,,Sì,,2020,
City car,f3829df6-d4fb-4ea6-a7d9-e4f8f14f75ae,Benzina,Manuale,KM0,Fiat,500,3,anteriore,1242,4,4,Grigio,5,Euro 6,115 g CO2/km (comb.),"4,9 l/100 km (comb.)
6,2 l/100 km (urbano)
4,2 l/100 km (extraurbano)",GRIGIO CARRARA,"Stoffa, Nero",,865,,1,,Sì,2020,
City car,f7cf09d2-e4c4-4894-8780-f579a02d87f1,Benzina,Manuale,KM0,Renault,Twingo,5,anteriore,3,4,3,Verde,5,Euro 6,100 g CO2/km (comb.),"4 l/100 km (comb.)
5 l/100 km (urbano)
4,4 l/100 km (extraurbano)",Verde Acqua,"Pelle parziale, Nero",,914,22 mese,1,Sì,Sì,2020,Sì
City car,718768ca-f99f-4c8b-b34e-f1fa7490f6a0,Benzina,Manuale,KM0,Lancia,Ypsilon,5,anteriore,4,4,4,Giallo,5,Euro 6,119 g CO2/km (comb.),"4,5 l/100 km (comb.)
6,7 l/100 km (urbano)
5,3 l/100 km (extraurbano)",ORO PURO,"Stoffa, Altro",,965,23 mese,1,Sì,,2020,Sì
City car,437da78a-a552-4be7-afae-461e74473e81,Benzina,Manuale,KM0,Lancia,Ypsilon,5,anteriore,4,4,4,Grigio,5,Euro 6,119 g CO2/km (comb.),"4,5 l/100 km (comb.)
6,7 l/100 km (urbano)
5,3 l/100 km (extraurbano)",Grigio pietra,"Stoffa, Altro",,965,23 mese,1,Sì,,2020,Sì
City car,ec923b35-e9e5-4747-8365-f84a7ee8f0dc,Benzina,Manuale,KM0,Lancia,Ypsilon,5,anteriore,4,4,4,Nero,5,Euro 6,119 g CO2/km (comb.),"4,5 l/100 km (comb.)
6,7 l/100 km (urbano)
5,3 l/100 km (extraurbano)",Nero Vulcano,"Stoffa, Altro",,965,23 mese,1,Sì,,2020,Sì
