,Carrozzeria,id_annuncio,Alimentazione,Tipo di veicolo,Anno,Marca,Modello,Porte,Posti a sedere,Tipo di cambio,Tipo di unita,Colore esterno,Emissioni di CO2,Rivestimenti,Colore originale,Tipo di vernice,Marce,Peso a vuoto,Usato Garantito,Per neopatentati,Proprietari,Cilindrata,Classe emissioni,Cilindri,Veicolo per non fumatori,Consumo carburante,Tagliandi certificati,seller,vehicle,country,address,conditional_on_price,price,link_annuncio,vehicle_user_desc,median,discount,variazione_su_mediana,equal_or_lower
2448,SUV/Fuoristrada/Pick-up,909fb6b3-7807-476e-b537-d9a7bb1f55c8,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Nero,135 g CO2/km (comb.),"Stoffa, Grigio",Nero,Metallizzato,6.0,1320.0,24 mese,,1.0,999.0,Euro 6,3.0,,"5,9 l/100 km (comb.)
7,5 l/100 km (urbano)
5 l/100 km (extraurbano)",,Panoramauto Torino srl,Jeep Renegade,IT,10156 Torino - To,12,20800,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-limited-nuovo-gpl-gpl-nero-909fb6b3-7807-476e-b537-d9a7bb1f55c8?cldtidx=12&cldtsrc=listPage,1.0 T3 Limited Nuovo GPL,34950.0,14150.0,12900.0,1
2449,SUV/Fuoristrada/Pick-up,fd48723c-f732-468d-aa36-0bd5cb802a66,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Bianco,132 g CO2/km (comb.),"Stoffa, Nero",Bianco,Base,6.0,1320.0,24 mese,,,999.0,Euro 6d-TEMP,3.0,,"6,5 l/100 km (comb.)
6,5 l/100 km (urbano)
5,3 l/100 km (extraurbano)",,Bcar Srl,Jeep Renegade,IT,12038 Savigliano - Cuneo - Cn,12,21700,https://www.autoscout24.it/annunci/jeep-renegade-1-0t3-gpl-night-eagle-navi8-4-18-limited-fuction-gpl-bianco-fd48723c-f732-468d-aa36-0bd5cb802a66?cldtidx=7&cldtsrc=listPage,"1.0T3 GPL Night Eagle +Navi8,4+18 Limited +Fuction",34950.0,13250.0,12000.0,1
2450,SUV/Fuoristrada/Pick-up,6c775cae-d3db-479f-bd29-f87fb4bcb0bf,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Bianco,132 g CO2/km (comb.),"Stoffa, Nero",Bianco,Base,6.0,1320.0,24 mese,,,999.0,Euro 6d-TEMP,3.0,,"6,5 l/100 km (comb.)
6,5 l/100 km (urbano)
5,3 l/100 km (extraurbano)",,Bcar Srl,Jeep Renegade,IT,12038 Savigliano - Cuneo - Cn,12,21700,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-gpl-night-eagle-navi8-4-18-limited-fuction-gpl-bianco-6c775cae-d3db-479f-bd29-f87fb4bcb0bf?cldtidx=9&cldtsrc=listPage,"1.0 T3 GPL Night Eagle +Navi8,4+18 Limited Fuction",34950.0,13250.0,12000.0,1
2451,SUV/Fuoristrada/Pick-up,99d298b4-f23a-47cb-abdd-aa368de1e74e,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Bianco,124 g CO2/km (comb.),"Stoffa, Nero",Bianco,Metallizzato,6.0,1320.0,24 mese,,,999.0,Euro 6,3.0,SÃƒÂ¬,"5,4 l/100 km (comb.)
7 l/100 km (urbano)
4,9 l/100 km (extraurbano)",,Daniele Automobili,Jeep Renegade,IT,10156 Torino,12,21900,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-limited-gpl-bianco-99d298b4-f23a-47cb-abdd-aa368de1e74e?cldtidx=10&cldtsrc=listPage,1.0 T3 Limited,34950.0,13050.0,11800.0,1
2452,SUV/Fuoristrada/Pick-up,26d5a1ae-1054-4e31-bb5d-906770013e24,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Nero,132 g CO2/km (comb.),"Stoffa, Nero",Nero,Metallizzato,6.0,1320.0,24 mese,,,999.0,Euro 6d-TEMP,3.0,,"6,5 l/100 km (comb.)
6,5 l/100 km (urbano)
5,3 l/100 km (extraurbano)",,Bcar Srl,Jeep Renegade,IT,12038 Savigliano - Cuneo - Cn,12,21700,https://www.autoscout24.it/annunci/jeep-renegade-1-0-gpl-night-eagle-navi8-4-18-limited-pak-fuction-gpl-nero-26d5a1ae-1054-4e31-bb5d-906770013e24?cldtidx=2&cldtsrc=listPage,"1.0 GPL Night Eagle Navi8,4+18 Limited PaK Fuction",34950.0,13250.0,12000.0,1
2453,SUV/Fuoristrada/Pick-up,3b0c6707-e6ab-4120-9341-d5f95b8ce417,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Nero,134 g CO2/km (comb.),"Stoffa, Nero",Nero,Base,6.0,1320.0,24 mese,,,999.0,Euro 6d-TEMP,3.0,,"5,9 l/100 km (comb.)
6,5 l/100 km (urbano)
5,5 l/100 km (extraurbano)",,Bcar Srl,Jeep Renegade,IT,12038 Savigliano - Cuneo - Cn,12,21500,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-gpl-limited-full-led-navi-8-4-car-play-gpl-nero-3b0c6707-e6ab-4120-9341-d5f95b8ce417?cldtidx=9&cldtsrc=listPage,"1.0 T3 GPL Limited +FULL LED+Navi 8,4 +CAR PLAY",34950.0,13450.0,12200.0,1
2454,SUV/Fuoristrada/Pick-up,b882572a-a0a7-4cbb-9e1b-f82be18f030f,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Nero,132 g CO2/km (comb.),"Stoffa, Nero",Nero,Metallizzato,6.0,1320.0,24 mese,,,999.0,Euro 6d-TEMP,3.0,,"6,5 l/100 km (comb.)
6,5 l/100 km (urbano)
5,3 l/100 km (extraurbano)",,Bcar Srl,Jeep Renegade,IT,12038 Savigliano - Cuneo - Cn,12,21700,https://www.autoscout24.it/annunci/jeep-renegade-1-0-gpl-night-eagle-navi8-4-18-limited-pak-fuction-gpl-nero-b882572a-a0a7-4cbb-9e1b-f82be18f030f?cldtidx=10&cldtsrc=listPage,"1.0 GPL Night Eagle Navi8,4+18 Limited PaK Fuction",34950.0,13250.0,12000.0,1
2455,SUV/Fuoristrada/Pick-up,8e4518fe-bb0c-404c-a5b3-8cdd434f6b06,GPL,KM0,2019.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Bianco,134 g CO2/km (comb.),"Stoffa, Nero",Bianco,Base,6.0,1320.0,24 mese,,,999.0,Euro 6d-TEMP,3.0,,"5,9 l/100 km (comb.)
6,5 l/100 km (urbano)
5,5 l/100 km (extraurbano)",,Bcar Srl,Jeep Renegade,IT,12038 Savigliano - Cuneo - Cn,12,21500,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-gpl-limited-full-led-navi-8-4-car-play-gpl-bianco-8e4518fe-bb0c-404c-a5b3-8cdd434f6b06?cldtidx=11&cldtsrc=listPage,"1.0 T3 GPL Limited +FULL LED+Navi 8,4 +CAR PLAY",34950.0,13450.0,12200.0,1
2456,SUV/Fuoristrada/Pick-up,466cec49-2ba9-4762-85e1-9673e016a456,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Grigio,124 g CO2/km (comb.),"Stoffa, Nero",,Metallizzato,6.0,1320.0,24 mese,,1.0,999.0,Euro 6d-TEMP,3.0,SÃƒÂ¬,"5,4 l/100 km (comb.)
7 l/100 km (urbano)
4,9 l/100 km (extraurbano)",,Autofossano,Jeep Renegade,IT,12045 Fossano - Cuneo - Cn,41,21000,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-night-eagle-km-zero-ufficiale-italiana-gpl-grigio-466cec49-2ba9-4762-85e1-9673e016a456?cldtidx=17&cldtsrc=listPage,1.0 T3 Night Eagle KM ZERO UFFICIALE ITALIANA !!,34950.0,13950.0,12700.0,1
2457,SUV/Fuoristrada/Pick-up,aa9589e8-6336-4150-ad23-946af6173166,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Bianco,124 g CO2/km (comb.),"Stoffa, Nero",,,6.0,1320.0,24 mese,,1.0,999.0,Euro 6d-TEMP,3.0,SÃƒÂ¬,"5,4 l/100 km (comb.)
7 l/100 km (urbano)
4,9 l/100 km (extraurbano)",,Autofossano,Jeep Renegade,IT,12045 Fossano - Cuneo - Cn,41,21000,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-night-eagle-km-zero-ufficiale-italiana-gpl-bianco-aa9589e8-6336-4150-ad23-946af6173166?cldtidx=18&cldtsrc=listPage,1.0 T3 Night Eagle KM ZERO UFFICIALE ITALIANA !!,34950.0,13950.0,12700.0,1
2458,SUV/Fuoristrada/Pick-up,ee31a21f-881d-4296-81dd-9d676c37a9ba,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Grigio,124 g CO2/km (comb.),"Stoffa, Nero",,Metallizzato,6.0,1320.0,24 mese,,1.0,999.0,Euro 6d-TEMP,3.0,SÃƒÂ¬,"5,4 l/100 km (comb.)
7 l/100 km (urbano)
4,9 l/100 km (extraurbano)",,Autofossano,Jeep Renegade,IT,12045 Fossano - Cuneo - Cn,41,21000,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-limited-ufficiale-italiana-impianto-gpl-gpl-grigio-ee31a21f-881d-4296-81dd-9d676c37a9ba?cldtidx=19&cldtsrc=listPage,1.0 T3 Limited UFFICIALE ITALIANA IMPIANTO GPL !!,34950.0,13950.0,12700.0,1
2459,SUV/Fuoristrada/Pick-up,7b5b221e-8dcb-4660-905d-483757f3f9b8,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Grigio,124 g CO2/km (comb.),"Stoffa, Nero",,Metallizzato,6.0,1320.0,24 mese,,1.0,999.0,Euro 6d-TEMP,3.0,SÃƒÂ¬,"5,4 l/100 km (comb.)
7 l/100 km (urbano)
4,9 l/100 km (extraurbano)",,Autofossano,Jeep Renegade,IT,12045 Fossano - Cuneo - Cn,41,19300,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-longitude-km-zero-ufficiale-italiana-gpl-grigio-7b5b221e-8dcb-4660-905d-483757f3f9b8?cldtidx=20&cldtsrc=listPage,1.0 T3 Longitude KM ZERO UFFICIALE ITALIANA !!,34950.0,15650.0,14400.0,1
2460,SUV/Fuoristrada/Pick-up,995f498c-b2fc-4d01-a6cb-9d71f98d6fa2,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Rosso,124 g CO2/km (comb.),"Stoffa, Nero",,,6.0,1320.0,24 mese,,1.0,999.0,Euro 6d-TEMP,3.0,SÃƒÂ¬,"5,4 l/100 km (comb.)
7 l/100 km (urbano)
4,9 l/100 km (extraurbano)",,Autofossano,Jeep Renegade,IT,12045 Fossano - Cuneo - Cn,12,19300,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-longitude-km-zero-ufficiale-italiana-gpl-rosso-995f498c-b2fc-4d01-a6cb-9d71f98d6fa2?cldtidx=1&cldtsrc=listPage,1.0 T3 Longitude KM ZERO UFFICIALE ITALIANA !!,34950.0,15650.0,14400.0,1
2461,SUV/Fuoristrada/Pick-up,75ebb459-ceb7-4814-bbf4-79e2579b23df,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Rosso,124 g CO2/km (comb.),"Stoffa, Nero",Rosso,Base,6.0,1320.0,24 mese,,,999.0,Euro 6,3.0,,"5,4 l/100 km (comb.)
7 l/100 km (urbano)
4,9 l/100 km (extraurbano)",,Tecno Trade Srl,Jeep Renegade,IT,30038 Spinea - Venezia - Ve,12,21990,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-limited-gpl-gpl-rosso-75ebb459-ceb7-4814-bbf4-79e2579b23df?cldtidx=10&cldtsrc=listPage,1.0 T3 Limited #GPL,34950.0,12960.0,11710.0,1
2462,SUV/Fuoristrada/Pick-up,1b95a29b-45eb-47a0-9c3a-145ccd60a1f7,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Nero,132 g CO2/km (comb.),"Stoffa, Nero",Nero,Base,6.0,1320.0,24 mese,,,999.0,Euro 6d-TEMP,3.0,,"6,5 l/100 km (comb.)
6,5 l/100 km (urbano)
5,3 l/100 km (extraurbano)",,RSAutomobili srl,Jeep Renegade,IT,30034 Mira - Venezia,12,21100,https://www.autoscout24.it/annunci/jeep-renegade-jeep-renegade-1-0-t3-night-eagle-gpl-postvendita-gpl-nero-1b95a29b-45eb-47a0-9c3a-145ccd60a1f7?cldtidx=18&cldtsrc=listPage,JEEP RENEGADE 1.0 T3 Night Eagle#GPL-POSTVENDITA,34950.0,13850.0,12600.0,1
2463,SUV/Fuoristrada/Pick-up,0b883cd5-ea1d-4ebf-881a-59f93e8f9b7a,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Grigio,132 g CO2/km (comb.),"Stoffa, Nero",Grigio scuro,Metallizzato,6.0,1320.0,24 mese,,,999.0,Euro 6d-TEMP,3.0,,"6,5 l/100 km (comb.)
6,5 l/100 km (urbano)
5,3 l/100 km (extraurbano)",,RSAutomobili srl,Jeep Renegade,IT,30034 Mira - Venezia,12,21100,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-night-eagle-gpl-postvendita-gpl-grigio-0b883cd5-ea1d-4ebf-881a-59f93e8f9b7a?cldtidx=19&cldtsrc=listPage,1.0 T3 Night Eagle#GPL-POSTVENDITA,34950.0,13850.0,12600.0,1
2464,SUV/Fuoristrada/Pick-up,f0e130f5-4a04-46d0-935b-d9cd2176e3b2,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Nero,147 g CO2/km (comb.),,Nero,Metallizzato,6.0,1430.0,24 mese,,,1000.0,,3.0,SÃƒÂ¬,"5,8 l/100 km (comb.)
6,8 l/100 km (urbano)
5,2 l/100 km (extraurbano)",,Castaldo Srl,Jeep Renegade,IT,10148 Torino - To,1,22590,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-120-cv-gpl-limited-full-opt-gpl-nero-f0e130f5-4a04-46d0-935b-d9cd2176e3b2?cldtidx=19&cldtsrc=listPage,1.0 T3 120 CV GPL Limited FULL OPT,34950.0,12360.0,11110.0,1
2465,SUV/Fuoristrada/Pick-up,a28d9325-dc91-4913-912b-cf2db2497db1,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Blu/Azzurro,135 g CO2/km (comb.),"Stoffa, Nero",,Metallizzato,6.0,1320.0,24 mese,,1.0,999.0,Euro 6d-TEMP,3.0,SÃƒÂ¬,"5,9 l/100 km (comb.)
7,5 l/100 km (urbano)
5 l/100 km (extraurbano)",,Autofossano,Jeep Renegade,IT,12045 Fossano - Cuneo - Cn,12,21000,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-limited-con-impianto-gpl-gpl-blu-azzurro-a28d9325-dc91-4913-912b-cf2db2497db1?cldtidx=1&cldtsrc=listPage,1.0 T3 Limited CON IMPIANTO GPL !!,34950.0,13950.0,12700.0,1
2466,Station wagon,e5111273-21d5-432d-8e7b-b950824c472f,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Bianco,,,Bianco,Metallizzato,6.0,,,,,999.0,,3.0,,,,M&M Motors Srl,Jeep Renegade,IT,30030 Maerne di Martellago - Venezia - Ve,12,22540,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-limited-my20-led-pack-gpl-gpl-bianco-e5111273-21d5-432d-8e7b-b950824c472f?cldtidx=1&cldtsrc=listPage,1.0 T3 LIMITED MY20 - LED PACK - GPL,34950.0,12410.0,11160.0,1
2467,Station wagon,682d1c42-ee04-4057-8537-69a581276480,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Nero,132 g CO2/km (comb.),"Stoffa, Nero",CARBON BLACK,Metallizzato,6.0,1320.0,24 mese,,1.0,999.0,,3.0,,"6,5 l/100 km (comb.)
6,5 l/100 km (urbano)
5,3 l/100 km (extraurbano)",,Pianeta Auto srls,Jeep Renegade,IT,41012 Carpi - Modena,2,21500,https://www.autoscout24.it/annunci/jeep-renegade-1-0-bz-gpl-120-cv-sport-granite-crystal-gpl-nero-682d1c42-ee04-4057-8537-69a581276480?cldtidx=14&cldtsrc=listPage,1.0 BZ/GPL 120 CV SPORT - GRANITE CRYSTAL,34950.0,13450.0,12200.0,1
2468,Station wagon,14a96d5b-89d8-4e4b-8226-5e667bbe3e64,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Grigio,132 g CO2/km (comb.),"Stoffa, Nero",GRANITE CRYSTAL,Metallizzato,6.0,1320.0,24 mese,,1.0,999.0,Euro 6d-TEMP,3.0,,"6,5 l/100 km (comb.)
6,5 l/100 km (urbano)
5,3 l/100 km (extraurbano)",,Pianeta Auto srls,Jeep Renegade,IT,41012 Carpi - Modena,1,22900,https://www.autoscout24.it/annunci/jeep-renegade-1-0-bz-gpl-limited-full-optional-gpl-grigio-14a96d5b-89d8-4e4b-8226-5e667bbe3e64?cldtidx=1&cldtsrc=listPage,1.0 BZ/GPL LIMITED - FULL OPTIONAL,34950.0,12050.0,10800.0,1
2469,Station wagon,5a3659d5-a892-4d3c-9415-10d5054598ba,GPL,KM0,2019.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Bianco,132 g CO2/km (comb.),"Stoffa, Nero",,,6.0,1320.0,,,1.0,999.0,Euro 6d-TEMP,3.0,,"6,5 l/100 km (comb.)
6,5 l/100 km (urbano)
5,3 l/100 km (extraurbano)",,Werre Garage srl,Jeep Renegade,IT,12062 Roreto di Cherasco - Cn,41,20900,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-night-eagle-gpl-gpl-bianco-5a3659d5-a892-4d3c-9415-10d5054598ba?cldtidx=5&cldtsrc=listPage,1.0 T3 Night Eagle GPL,34950.0,14050.0,12800.0,1
2470,Station wagon,601c45cc-d930-46b6-85d9-f45d3460e0e3,GPL,KM0,2019.0,Jeep,Renegade,5.0,5.0,Manuale,,Bianco,132 g CO2/km (comb.),"Stoffa, Nero",,Metallizzato,6.0,1320.0,,,1.0,999.0,Euro 6d-TEMP,3.0,,"6,5 l/100 km (comb.)
6,5 l/100 km (urbano)
5,3 l/100 km (extraurbano)",,Autoelle Group di Mucci Martina,Jeep Renegade,IT,56019 Migliarino Pisano - Pisa,1,17999,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-sport-gpl-vari-colori-gpl-bianco-601c45cc-d930-46b6-85d9-f45d3460e0e3?cldtidx=9&cldtsrc=listPage,1.0 T3 SPORT--GPL-- VARI COLORI!!!,34950.0,16951.0,15701.0,1
2471,Station wagon,4cf116fa-f2a5-46e6-a48e-b8cf0f022828,GPL,KM0,2019.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Grigio,135 g CO2/km (comb.),,,,6.0,1320.0,24 mese,,1.0,999.0,Euro 6,3.0,,"5,9 l/100 km (comb.)
7,5 l/100 km (urbano)
5 l/100 km (extraurbano)",,Werre Garage srl,Jeep Renegade,IT,12062 Roreto di Cherasco - Cn,41,21900,https://www.autoscout24.it/annunci/jeep-renegade-gpl-1-0-t3-limited-gpl-grigio-4cf116fa-f2a5-46e6-a48e-b8cf0f022828?cldtidx=13&cldtsrc=listPage,GPL 1.0 T3 Limited,34950.0,13050.0,11800.0,1
2472,Altro,f2922f09-e7e9-4f5f-ac9c-ba5c47fd7c19,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Bianco,,,Bianco,Base,6.0,,SÃƒÂ¬,,,999.0,,3.0,,,,M&M Motors Srl,Jeep Renegade,IT,30030 Maerne di Martellago - Venezia - Ve,41,22250,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-night-eagle-gpl-gpl-bianco-f2922f09-e7e9-4f5f-ac9c-ba5c47fd7c19?cldtidx=14&cldtsrc=listPage,1.0 T3 Night Eagle - GPL,34950.0,12700.0,11450.0,1
2473,Altro,e15998c9-4837-4076-b76f-401b4cef1502,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Blu/Azzurro,124 g CO2/km (comb.),"Stoffa, Nero",,,6.0,1320.0,24 mese,,1.0,999.0,Euro 6d-TEMP,3.0,,"5,4 l/100 km (comb.)
7 l/100 km (urbano)
4,9 l/100 km (extraurbano)",SÃƒÂ¬,Essemotor Snc dei F.lli Tagliacollo,Jeep Renegade,IT,45100 Rovigo - Ro,12,19900,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-longitude-gpl-blu-azzurro-e15998c9-4837-4076-b76f-401b4cef1502?cldtidx=14&cldtsrc=listPage,1.0 T3 Longitude,34950.0,15050.0,13800.0,1
2474,Altro,bb436482-2f0d-4644-a86c-2d3ca13be1d6,GPL,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Nero,124 g CO2/km (comb.),,,,6.0,1320.0,24 mese,,1.0,999.0,Euro 6d-TEMP,3.0,,"5,4 l/100 km (comb.)
7 l/100 km (urbano)
4,9 l/100 km (extraurbano)",,Essemotor Snc dei F.lli Tagliacollo,Jeep Renegade,IT,45100 Rovigo - Ro,12,21990,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-limited-gpl-nero-bb436482-2f0d-4644-a86c-2d3ca13be1d6?cldtidx=17&cldtsrc=listPage,1.0 T3 Limited,34950.0,12960.0,11710.0,1
2475,SUV/Fuoristrada/Pick-up,0b9ec88d-2baf-4e00-8f1f-f86b52203796,Elettrica/Benzina,KM0,2020.0,Jeep,Renegade,5.0,5.0,Automatico,anteriore,Grigio,,"Stoffa, Grigio",Grigio,Base,6.0,,24 mese,,,1332.0,Euro 6d-TEMP,4.0,,,,Newcocar Srl,Jeep Renegade,Alessandro Fornera - Diego Zadel,IT,12,22950,https://www.autoscout24.it/annunci/jeep-renegade-1-3-limited-phev--289-iva-inclusa-noleggio-lungo-elettrica-benzina-grigio-0b9ec88d-2baf-4e00-8f1f-f86b52203796?cldtidx=11&cldtsrc=listPage,1.3 Limited PHEV Ã¢Â‚Â¬ 289 IVA INCLUSA NOLEGGIO LUNGO,34950.0,12000.0,10750.0,1
2476,SUV/Fuoristrada/Pick-up,cd9aa5eb-1e49-49ae-b756-9954f0ca6c40,Benzina,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Grigio,132 g CO2/km (comb.),"Stoffa, Grigio",Grigio,Base,6.0,1320.0,24 mese,,,999.0,Euro 6d-TEMP,3.0,,"6,5 l/100 km (comb.)
6,5 l/100 km (urbano)
5,3 l/100 km (extraurbano)",,Becast Automobili Srl,Jeep Renegade,IT,36040 Brendola - Vicenza - Vi,12,18900,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-night-eagle-scopri-l-offerta-benzina-grigio-cd9aa5eb-1e49-49ae-b756-9954f0ca6c40?cldtidx=10&cldtsrc=listPage,1.0 T3 Night Eagle SCOPRI L'OFFERTA,34950.0,16050.0,14800.0,1
2477,SUV/Fuoristrada/Pick-up,a675cb9e-c46b-415e-9a69-ad2265868b7c,Benzina,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Grigio,132 g CO2/km (comb.),"Stoffa, Grigio",Grigio,Base,6.0,1320.0,24 mese,,,999.0,Euro 6d-TEMP,3.0,,"6,5 l/100 km (comb.)
6,5 l/100 km (urbano)
5,3 l/100 km (extraurbano)",,Becast Automobili Srl,Jeep Renegade,IT,36040 Brendola - Vicenza - Vi,12,21400,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-night-eagle-benzina-grigio-a675cb9e-c46b-415e-9a69-ad2265868b7c?cldtidx=11&cldtsrc=listPage,1.0 T3 Night Eagle,34950.0,13550.0,12300.0,1
2478,SUV/Fuoristrada/Pick-up,dec03a41-48ef-493a-afeb-3068ccb6a74a,Benzina,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,,Blu/Azzurro,124 g CO2/km (comb.),"Stoffa, Nero",,Metallizzato,6.0,1320.0,,,1.0,999.0,Euro 6d-TEMP,3.0,,"5,4 l/100 km (comb.)
7 l/100 km (urbano)
4,9 l/100 km (extraurbano)",,Borgo Multi Car Srl,Jeep Renegade,IT,27028 San Martino Siccomario - Pavia - Pv,12,22999,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-limited-my-20-benzina-blu-azzurro-dec03a41-48ef-493a-afeb-3068ccb6a74a?cldtidx=15&cldtsrc=listPage,1.0 T3 Limited MY 20,34950.0,11951.0,10701.0,1
2479,SUV/Fuoristrada/Pick-up,4c9dae66-f525-44ab-92bd-b808cf644cf5,Benzina,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,,Grigio,124 g CO2/km (comb.),"Stoffa, Nero",,Metallizzato,6.0,1320.0,,,1.0,999.0,Euro 6d-TEMP,3.0,,"5,4 l/100 km (comb.)
7 l/100 km (urbano)
4,9 l/100 km (extraurbano)",,Borgo Multi Car Srl,Jeep Renegade,IT,27028 San Martino Siccomario - Pavia - Pv,12,22999,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-limited-my-20-benzina-grigio-4c9dae66-f525-44ab-92bd-b808cf644cf5?cldtidx=16&cldtsrc=listPage,1.0 T3 Limited MY 20,34950.0,11951.0,10701.0,1
2480,SUV/Fuoristrada/Pick-up,c55582f1-daa1-44e3-90c0-92185cb96c67,Benzina,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,,Nero,124 g CO2/km (comb.),"Stoffa, Nero",,Metallizzato,6.0,1320.0,,,1.0,999.0,Euro 6d-TEMP,3.0,,"5,4 l/100 km (comb.)
7 l/100 km (urbano)
4,9 l/100 km (extraurbano)",,Borgo Multi Car Srl,Jeep Renegade,IT,27028 San Martino Siccomario - Pavia - Pv,12,22999,https://www.autoscout24.it/annunci/jeep-renegade-1-0-t3-limited-my-20-benzina-nero-c55582f1-daa1-44e3-90c0-92185cb96c67?cldtidx=17&cldtsrc=listPage,1.0 T3 Limited MY 20,34950.0,11951.0,10701.0,1
2481,SUV/Fuoristrada/Pick-up,7d82ea3a-32cf-4e7d-928c-b4e538a18f77,Benzina,KM0,2020.0,Jeep,Renegade,5.0,5.0,Manuale,anteriore,Bianco,124 g CO2/km (comb.),"Stoffa, Nero",bianco alpine,,6.0,1320.0,24 mese,,1.0,999.0,Euro 6d,3.0,SÃƒÂ¬,"5,4 l/100 km (comb.)
7 l/100 km (urbano)
4,9 l/100 km (extraurbano)",,Gruppo Zago Srl,Jeep Renegade,IT,20813 Bovisio Masciago - Monza Brianza - Mb,12,21500,https://www.autoscout24.it/annunci/jeep-renegade-1-0-limited-120cv-km0-my20-functionvisibilityruota-benzina-bianco-7d82ea3a-32cf-4e7d-928c-b4e538a18f77?cldtidx=19&cldtsrc=listPage,1.0 Limited 120cv KM0 MY20 FunctionVisibilityRuota,34950.0,13450.0,12200.0,1
