_ - _ - id_annuncio,_ - _ - Marca,_ - _ - Carrozzeria,_ - _ - Alimentazione,_ - _ - Tipo di veicolo,_ - _ - Anno,_ - _ - Modello,_ - _ - Colore esterno,_ - _ - Tipo di cambio,_ - _ - Cilindrata,_ - _ - Porte,_ - _ - Posti a sedere,_ - _ - Cilindri,_ - _ - Marce,_ - _ - Classe emissioni,_ - _ - Peso a vuoto,_ - _ - Tipo di unità,_ - _ - Tipo di vernice,_ - _ - Consumo carburante:3,_ - _ - Rivestimenti,_ - _ - Emissioni di CO23,_ - _ - Offerta n.,_ - _ - Colore originale,_ - _ - Usato Garantito,_ - _ - Proprietari,_ - _ - Tagliandi certificati,_ - _ - Consumo carburante:2,_ - _ - Veicolo per non fumatori,_ - _ - Emissioni di CO22,_ - _ - Per neopatentati,_ - _ - Versione per nazione,_ - _ - Ultimo tagliando,_ - _ - Prossima revisione,_ - _ - Consumo carburante:1,_ - _ - Bollino polveri,_ - _ - Ultimo cambio cinghia distribuzione,_ - _ - Emissioni di CO21,_ - _ - Prossima nuova,_ - _ - Disponibilità,_ - _ - Numero della chiave,_ - _ - Altre fonti di energia
a9570a15-4dff-4710-8164-4099c1e0e262,Audi,City car,Benzina,Usato,2019,A1,Nero,Manuale,999 cm³,5,5,3,5,Euro 6d-TEMP,1.165 kg,anteriore,Metallizzato,"4,6 l/100 km (comb.)
5,8 l/100 km (urbano)
3,9 l/100 km (extraurbano)","Stoffa, Grigio",104 g CO2/km (comb.),10011088304,Nero,24 mese,1,Sì,,Sì,,,,,,,,,,,,,
c8cfd8c6-1740-4b3f-98f6-a8f7eae49705,Audi,City car,Benzina,Usato,2019,A1,Nero,Automatico,999 cm³,5,5,3,7,Euro 6d-TEMP,1.230 kg,anteriore,Metallizzato,"4,8 l/100 km (comb.)
5,8 l/100 km (urbano)
4,2 l/100 km (extraurbano)","Stoffa, Grigio",108 g CO2/km (comb.),10011088301,Nero,24 mese,1,Sì,,Sì,,,,,,,,,,,,,
10696b14-15d1-40d0-a277-7ddc642d370c,Audi,City car,Benzina,Usato,2019,A1,Bianco,Manuale,999 cm³,5,5,3,5,Euro 6d-TEMP,1.165 kg,anteriore,Metallizzato,"4,6 l/100 km (comb.)
5,8 l/100 km (urbano)
3,9 l/100 km (extraurbano)","Stoffa, Grigio",104 g CO2/km (comb.),10011088303,Bianco,24 mese,1,Sì,,Sì,,,,,,,,,,,,,
f41c6de5-b5c8-4d8b-bb10-abece0c0143f,Audi,City car,Benzina,Usato,2019,A1,Grigio,Automatico,999 cm³,5,5,3,7,Euro 6d-TEMP,1.230 kg,anteriore,Metallizzato,"4,8 l/100 km (comb.)
5,8 l/100 km (urbano)
4,2 l/100 km (extraurbano)","Stoffa, Grigio",108 g CO2/km (comb.),10011088300,Grigio Scuro,24 mese,1,Sì,,Sì,,,,,,,,,,,,,
5f09d1cc-f31f-4060-96a1-6a003b2c0933,Audi,City car,Benzina,Usato,2019,A1,Bianco,Automatico,999 cm³,5,5,3,7,Euro 6d-TEMP,1.230 kg,anteriore,Metallizzato,"4,8 l/100 km (comb.)
5,8 l/100 km (urbano)
4,2 l/100 km (extraurbano)","Stoffa, Grigio",108 g CO2/km (comb.),10011088302,Bianco,24 mese,1,Sì,,Sì,,,,,,,,,,,,,
35b06877-a6a6-4d26-bcc9-0c56c0edc05e,Audi,City car,Benzina,Usato,2019,A1,Grigio,Manuale,999 cm³,5,5,3,6,Euro 6d-TEMP,1.180 kg,anteriore,Metallizzato,"4,8 l/100 km (comb.)
5,9 l/100 km (urbano)
4,1 l/100 km (extraurbano)","Stoffa, Grigio",108 g CO2/km (comb.),10011088299,Grigio Scuro,24 mese,1,Sì,,Sì,,,,,,,,,,,,,
18dd2cd8-9533-4fcf-9d6b-cef8d683a1c3,Audi,City car,Benzina,Usato,2019,A1,Bianco,Manuale,999 cm³,5,5,3,6,Euro 6d-TEMP,1.180 kg,anteriore,Perlato,"4,8 l/100 km (comb.)
5,9 l/100 km (urbano)
4,1 l/100 km (extraurbano)","Stoffa, Grigio",108 g CO2/km (comb.),10011088295,Bianco,24 mese,1,Sì,,Sì,,,,,,,,,,,,,
b5c76d24-e8bc-4a7b-8b49-d2a70fb9b9b5,Audi,City car,Benzina,Usato,2019,A1,Grigio,Manuale,999 cm³,5,5,3,5,Euro 6d-TEMP,1.165 kg,anteriore,Metallizzato,"4,6 l/100 km (comb.)
5,8 l/100 km (urbano)
3,9 l/100 km (extraurbano)","Stoffa, Grigio",104 g CO2/km (comb.),10011088294,Grigio Scuro,24 mese,1,Sì,,Sì,,,,,,,,,,,,,
778bc843-6daa-480e-8b9a-488d3cd10475,Audi,City car,Benzina,Usato,2019,A1,Nero,Manuale,999 cm³,5,5,3,5,Euro 6d-TEMP,1.165 kg,anteriore,Metallizzato,"4,6 l/100 km (comb.)
5,8 l/100 km (urbano)
3,9 l/100 km (extraurbano)","Stoffa, Grigio",104 g CO2/km (comb.),10011088236,Nero,24 mese,1,Sì,,Sì,,,,,,,,,,,,,
c9954f3d-9dc3-4523-bcc8-787c0c2502ef,Volkswagen,City car,Benzina,Usato,1997,Polo,Argento,Manuale,1.390 cm³,5,5,4,5,Euro 2,1.035 kg,anteriore,,"6,3 l/100 km (comb.)
8,5 l/100 km (urbano)
5 l/100 km (extraurbano)",Stoffa,,,,,2,,,,,Sì,,,,,,,,,,,
2511f1ab-eb46-49ba-adfe-1c24fc966bce,Lancia,City car,Benzina,Usato,1998,Y,Nero,Manuale,1.242 cm³,5,,,5,Euro 2,,anteriore,,,"Pelle scamosciata, Nero",,2463901,,,,,,Sì,,,Italia,,,,,,,,,,
cd271492-6a31-4417-a0e6-c691954a71da,Fiat,City car,Benzina,Usato,2017,Punto,Nero,Manuale,1.242 cm³,5,5,,,,,anteriore,,"5,3 l/100 km (comb.)
7,1 l/100 km (urbano)
4,3 l/100 km (extraurbano)","Altro, Altro",1.240 g CO2/km (comb.),200497219,,Sì,,,,,,,,,,,1 (Senza Bollino Polveri Sottili),,,,,,
1c8d871c-8be8-48e9-9187-615107df3560,smart,City car,Benzina,Usato,2017,forTwo,Bianco,Manuale,999 cm³,3,2,3,5,Euro 6,880 kg,posteriore,Base,"4,5 l/100 km (comb.)
5,6 l/100 km (urbano)
3,8 l/100 km (extraurbano)","Stoffa, Nero",104 g CO2/km (comb.),13960301,Bianco,12 mese,1,Sì,,Sì,,Sì,,,03/2021,,,,,,,,
5cbc7fc8-7b11-491c-acb0-a30ad7016095,Fiat,City car,Benzina,Usato,2019,500,Nero,Manuale,1.242 cm³,3,4,4,5,,900 kg,anteriore,Metallizzato,"4,9 l/100 km (comb.)
6,2 l/100 km (urbano)
4,1 l/100 km (extraurbano)",,115 g CO2/km (comb.),13782501,Nero,12 mese,1,,,,,,,,,,,,,,,,
6e5948c6-4145-4fea-8c71-2a19ca4aada9,Volkswagen,City car,Benzina,Usato,2009,Fox,Bianco,Manuale,1.198 cm³,3,4,3,5,Euro 4,1.053 kg,anteriore,Base,"6,1 l/100 km (comb.)
7,8 l/100 km (urbano)
5,1 l/100 km (extraurbano)","Stoffa, Nero",139 g CO2/km (comb.),13961728,Bianco,12 mese,,,,Sì,,Sì,,,,,,,,,,,
eb4e2fe1-d22c-4623-b4c4-81d09fca969d,smart,City car,Benzina,Usato,2018,forTwo,Grigio,Automatico,898 cm³,3,2,3,6,Euro 6,900 kg,posteriore,Metallizzato,"4,5 l/100 km (comb.)
5,2 l/100 km (urbano)
4,1 l/100 km (extraurbano)","Pelle totale, Nero",102 g CO2/km (comb.),13965131,GRIGIO PIOMBO SATINATO,12 mese,,Sì,,Sì,,,,,,,,,,,,,
439da722-ffec-4d47-b7eb-56e4476df23c,Fiat,City car,Benzina,Usato,2007,Seicento,Rosso,Manuale,1.108 cm³,3,4,4,5,Euro 4,810 kg,anteriore,Base,"6 l/100 km (comb.)
8,3 l/100 km (urbano)
4,7 l/100 km (extraurbano)","Stoffa, Grigio",139 g CO2/km (comb.),13958434,Rosso,Sì,,,,,,Sì,,,,,,,,,,,
6b4d0653-caa4-4df8-88ed-85b16ab00e2b,Lancia,City car,Benzina,Usato,2019,Ypsilon,Oro,Manuale,1.242 cm³,5,5,4,5,Euro 6d-TEMP,1.040 kg,anteriore,,"5,3 l/100 km (comb.)
6,7 l/100 km (urbano)
4,5 l/100 km (extraurbano)","Altro, Nero",119 g CO2/km (comb.),,ORO PURO,12 mese,1,,,Sì,,Sì,Italia,,,,,,,,,,
36ec9e5f-350c-4bff-b2f0-0571ac997cd0,Opel,City car,Benzina,Usato,2015,Karl,Argento,Manuale,999 cm³,5,5,3,5,Euro 6,,anteriore,Metallizzato,"4,5 l/100 km (comb.)
5,6 l/100 km (urbano)
3,9 l/100 km (extraurbano)","Pelle parziale, Nero",104 g CO2/km (comb.),,,12 mese,1,Sì,,,,,,09/2020,,,,,,,,,
55c897bf-d963-4116-964c-dba26cce947e,Volkswagen,City car,Benzina,Usato,2013,Maggiolino,Bianco,Automatico,1.984 cm³,3,4,4,6,Euro 5,1.439 kg,anteriore,Base,"7,7 l/100 km (comb.)
10,3 l/100 km (urbano)
6,1 l/100 km (extraurbano)","Stoffa, Nero",179 g CO2/km (comb.),13960328,Bianco,12 mese,1,Sì,,Sì,,,,,,,,,,,,,
46b18f5c-64ae-415c-b1a9-d5f7cf831b77,Fiat,City car,Benzina,Usato,2008,500,Giallo,Manuale,1.242 cm³,3,4,4,5,Euro 4,940 kg,anteriore,Base,"5,1 l/100 km (comb.)
6,4 l/100 km (urbano)
4,3 l/100 km (extraurbano)","Pelle parziale, Nero",119 g CO2/km (comb.),13958310,Giallo,12 mese,2,,,,,Sì,,,,,,,,,,,
eb49e959-d905-4644-aa00-795e20bfd56f,Fiat,City car,Benzina,Usato,2012,500,Grigio,Manuale,1.242 cm³,3,4,4,5,Euro 5,975 kg,anteriore,Metallizzato,"5,1 l/100 km (comb.)
6,4 l/100 km (urbano)
4,3 l/100 km (extraurbano)",,119 g CO2/km (comb.),13959540,Grigio scuro,12 mese,,,,,,Sì,,,,,,,,,,,
3b839e20-9973-425a-ab87-46006b0c048e,Alfa Romeo,City car,Benzina,Usato,2014,MiTo,Nero,Manuale,1.368 cm³,3,4,4,5,Euro 6,1.155 kg,anteriore,Metallizzato,"5,6 l/100 km (comb.)
7,3 l/100 km (urbano)
4,3 l/100 km (extraurbano)",,130 g CO2/km (comb.),13959098,Nero,12 mese,,,,,,Sì,,,,,,,,,,,
7ba6c4ca-663d-41c6-b279-fb2e607255b6,Fiat,City car,Benzina,Usato,2011,500,Grigio,Automatico,1.242 cm³,3,4,4,5,Euro 5,975 kg,anteriore,Metallizzato,"4,8 l/100 km (comb.)
5,7 l/100 km (urbano)
4,3 l/100 km (extraurbano)",,113 g CO2/km (comb.),13962033,Grigio scuro,12 mese,1,Sì,,Sì,,Sì,,,,,,,,,,,
c4dad603-1ae9-4a66-a0da-b9d2d1f9ee04,MINI,City car,Benzina,Usato,2002,Cooper,Grigio,Manuale,1.598 cm³,3,4,4,5,Euro 4,1.150 kg,anteriore,Base,"6,8 l/100 km (comb.)
9,1 l/100 km (urbano)
5,4 l/100 km (extraurbano)","Stoffa, Grigio",165 g CO2/km (comb.),13961993,Grigio,6 mese,,,,Sì,,,,,,,,,,,,,
642ec870-e071-45f3-98d8-f19dbb71078f,Fiat,City car,Benzina,Usato,2019,500,Grigio,Manuale,1.242 cm³,3,4,4,5,Euro 6,960 kg,anteriore,Metallizzato,"5,3 l/100 km (comb.)
6,6 l/100 km (urbano)
4,5 l/100 km (extraurbano)","Stoffa, Nero",123 g CO2/km (comb.),13923828,Grigio scuro,12 mese,,,,,,Sì,,,,,,,,,,,
e2833969-9043-486d-9348-566d12d75df1,Citroen,City car,Benzina,Usato,2010,C1,Rosso,Manuale,998 cm³,3,4,3,5,Euro 4,940 kg,anteriore,Base,"4,5 l/100 km (comb.)
5,5 l/100 km (urbano)
3,9 l/100 km (extraurbano)","Stoffa, Grigio",106 g CO2/km (comb.),13960678,Rosso,,,,,,,Sì,,,,,,,,,,,
0ba21e41-f5e2-4bf9-a27f-cefcbb62f628,Fiat,City car,Benzina,Usato,2014,500,Grigio,Manuale,1.242 cm³,3,4,4,5,Euro 6,975 kg,anteriore,Metallizzato,"5,1 l/100 km (comb.)
6,4 l/100 km (urbano)
4,3 l/100 km (extraurbano)",,119 g CO2/km (comb.),13960750,Antracite,,,,,,,Sì,,,,,,,,,,,
b69852f0-8be5-4197-b12c-f61b509dc632,Lancia,City car,Benzina,Usato,2011,Ypsilon,Beige,Manuale,1.242 cm³,3,4,4,5,Euro 5,1.020 kg,anteriore,Metallizzato,"4,9 l/100 km (comb.)
6,5 l/100 km (urbano)
4 l/100 km (extraurbano)","Stoffa, Nero",114 g CO2/km (comb.),13961358,Beige,12 mese,,Sì,,Sì,,Sì,,,,,,,,,,,
ff1e579e-f4a2-42b3-98e2-939195585274,Audi,City car,Benzina,Usato,2017,A3,Bianco,Automatico,1.984 cm³,3,5,4,7,Euro 6,1.445 kg,4x4,Base,"5,8 l/100 km (comb.)
7,2 l/100 km (urbano)
4,9 l/100 km (extraurbano)","Stoffa, Nero",132 g CO2/km (comb.),13960628,Bianco,12 mese,,Sì,,,,,,,,,,,,,,,
a570fa86-8f82-43d9-962f-3bc3023dd86b,Audi,City car,Benzina,Usato,2017,A3,Bianco,Automatico,1.984 cm³,3,5,4,7,Euro 6,1.445 kg,4x4,Base,"5,8 l/100 km (comb.)
7,2 l/100 km (urbano)
4,9 l/100 km (extraurbano)","Stoffa, Nero",132 g CO2/km (comb.),13960639,Bianco,12 mese,,Sì,,,,,,,,,,,,,,,
cac471cd-459f-4e81-9a40-93786c88aba7,Fiat,City car,Benzina,Usato,2019,500,Bianco,Manuale,1.242 cm³,3,4,4,5,Euro 6d-TEMP,960 kg,anteriore,Base,"5,3 l/100 km (comb.)
6,6 l/100 km (urbano)
4,5 l/100 km (extraurbano)","Stoffa, Nero",123 g CO2/km (comb.),13959327,Bianco,12 mese,,,,,,Sì,,,,,,,,,,,
232b9a60-bc86-40e1-b2df-958ee5156e4c,Fiat,City car,Benzina,Usato,2019,500,Rosso,Manuale,1.242 cm³,3,4,4,5,Euro 6,960 kg,anteriore,Metallizzato,"5,3 l/100 km (comb.)
6,6 l/100 km (urbano)
4,5 l/100 km (extraurbano)","Stoffa, Grigio",123 g CO2/km (comb.),13961718,Bordeaux,,,,,,,Sì,,,,,,,,,,,
557b447a-6610-4af6-b24f-92ab7996c151,Peugeot,City car,Benzina,Usato,2017,208,Grigio,Manuale,1.199 cm³,5,5,3,5,Euro 6,,anteriore,Metallizzato,"4,7 l/100 km (comb.)
5,6 l/100 km (urbano)
4,1 l/100 km (extraurbano)","Stoffa, Nero",109 g CO2/km (comb.),jkcagsah,Grigio,12 mese,,,,Sì,,,,,,,1 (Senza Bollino Polveri Sottili),,,,,,
82a2ea45-de92-402c-92b5-d97584e56dce,Renault,City car,Benzina,Usato,2010,Twingo,Rosso,Manuale,1.149 cm³,3,4,4,5,Euro 4,1.000 kg,anteriore,Base,"5,5 l/100 km (comb.)
7,1 l/100 km (urbano)
4,6 l/100 km (extraurbano)","Stoffa, Nero",130 g CO2/km (comb.),13961708,Rosso,,,,,Sì,,Sì,,,,,,,,,,,
6308ae3a-7b73-446e-b373-a5734ee7a61f,Autobianchi,City car,Benzina,Usato,1982,A 112,Argento,Manuale,965 cm³,3,5,4,5,,745 kg,anteriore,Metallizzato,,"Pelle totale, Grigio",,2114012,ARGENTO MET,,1,,,,,Sì,,,,,,,,,,,
c80a10ff-5c5e-4f8b-a266-63f51d90fe73,Fiat,City car,Benzina,Usato,2011,500,Bianco,Manuale,1.242 cm³,3,4,4,5,Euro 5,975 kg,anteriore,Base,"4,8 l/100 km (comb.)
5,7 l/100 km (urbano)
4,3 l/100 km (extraurbano)",Stoffa,113 g CO2/km (comb.),13961820,Bianco,12 mese,,,,,,Sì,,,,,,,,,,,
2f8e5c06-f1bb-4c5a-aef9-4e0ed0587b56,Fiat,City car,Benzina,Usato,2017,500,Verde,Manuale,875 cm³,3,4,2,5,Euro 6,1.005 kg,anteriore,Base,"3,8 l/100 km (comb.)
4,3 l/100 km (urbano)
3,5 l/100 km (extraurbano)","Pelle parziale, Grigio",90 g CO2/km (comb.),13931066,VERDE RIVIERA,12 mese,1,,,,,,,,,,,,,,,,
070b2c2d-c1a2-4b9c-94d2-08b64e9239f7,Alfa Romeo,City car,Benzina,Usato,2005,147,Argento,Manuale,1.598 cm³,3,5,4,5,Euro 4,1.265 kg,anteriore,Metallizzato,"8,1 l/100 km (comb.)
11,1 l/100 km (urbano)
6,3 l/100 km (extraurbano)","Stoffa, Nero",192 g CO2/km (comb.),13717906,Argento,12 mese,1,,,Sì,,,,,,,,,,,,,
afa94c7b-e6dd-423d-a47c-2cf6669a1f2e,Fiat,City car,Benzina,Usato,2009,Punto,Nero,Manuale,1.242 cm³,3,5,4,5,Euro 4,935 kg,anteriore,Base,"5,7 l/100 km (comb.)
7,3 l/100 km (urbano)
4,8 l/100 km (extraurbano)","Stoffa, Grigio",133 g CO2/km (comb.),13959227,Nero,,,,,Sì,,Sì,,,,,,,,,,,
7a6b7447-6ee3-4254-82cb-eacee2671c12,BMW,City car,Benzina,Usato,1995,850,Bianco,Automatico,,,,,,,,,,,"Pelle totale, Nero",,13961907,Bianco,,,,,,,,,,,,,,,,,,
bea70d99-d8f6-4594-82a3-71e575899bba,Fiat,City car,Benzina,Usato,2012,500,Rosso,Manuale,1.242 cm³,3,4,4,5,Euro 5,975 kg,anteriore,Base,"5,1 l/100 km (comb.)
6,4 l/100 km (urbano)
4,3 l/100 km (extraurbano)","Stoffa, Grigio",119 g CO2/km (comb.),13961871,Rosso,Sì,1,Sì,,,,Sì,,,,,,,,,,,
02a25b47-0ea1-4fc7-88fe-ad1ecf07d7c7,Rover,City car,Benzina,Usato,1994,216,Verde,Manuale,,,,,,,,,,,"Pelle totale, Beige",,13961808,Verde,,,,,,,,,,,,,,,,,,
3b676dd7-fc18-48a4-af9b-a682a8e9402b,Volkswagen,City car,Benzina,Usato,2002,New Beetle,Argento,Manuale,1.595 cm³,3,4,4,5,Euro 4,1.205 kg,anteriore,Metallizzato,"7,5 l/100 km (comb.)
10,3 l/100 km (urbano)
5,9 l/100 km (extraurbano)","Stoffa, Altro",,13961398,Argento,,,,,,,,,,,,,,,,,,
d7304149-ce9a-42d9-a378-a1181633b40e,Toyota,City car,Benzina,Usato,2017,Aygo,Bianco,Automatico,998 cm³,5,4,3,5,Euro 6,860 kg,anteriore,Metallizzato,"4,2 l/100 km (comb.)
5 l/100 km (urbano)
3,8 l/100 km (extraurbano)",,97 g CO2/km (comb.),1963325,BIANCO,Sì,1,,,,,,,04/2017,,,,,,,,,
3979e308-4a90-4e44-a148-59448bf6bec9,Hyundai,City car,Benzina,Usato,2004,Atos,Argento,Manuale,1.086 cm³,5,4,4,5,Euro 3,,anteriore,Metallizzato,"5,9 l/100 km (comb.)
7,4 l/100 km (urbano)
5 l/100 km (extraurbano)","Stoffa, Grigio",140 g CO2/km (comb.),2694034,,,1,,,,,,Italia,,,,,,,,,,
ac984b90-5083-49e2-ae1f-46f5c4a9df47,Lancia,City car,Benzina,Usato,1999,Y,Rosso,Manuale,1.108 cm³,3,5,4,5,Euro 2,925 kg,anteriore,Base,"6,3 l/100 km (comb.)
8,8 l/100 km (urbano)
4,9 l/100 km (extraurbano)",,,13961767,Rosso,,,,,,,Sì,,,,,,,,,,,
d937068b-5a3e-436b-bef2-b6af1f4e41a7,Fiat,City car,Benzina,Usato,2019,500,Nero,Manuale,1.242 cm³,,,,,Euro 6,,anteriore,Metallizzato,,Altro,,1006144,Nero,,,,,,,,Italia,,,,,,,,,,
022b8ad5-4324-47cd-b311-640ae74e0342,Fiat,City car,Benzina,Usato,1972,500,Bianco,Manuale,498 cm³,2,4,2,,,,posteriore,,,Nero,,,,,,,,,,,Italia,08/2020,,,,,,,,,
fad47c69-30d4-4f6e-9e52-c1ccf9a1024f,Fiat,City car,Benzina,Usato,2017,500,Grigio,Manuale,1.242 cm³,3,4,4,5,,865 kg,anteriore,Metallizzato,"4,9 l/100 km (comb.)
6,2 l/100 km (urbano)
4,2 l/100 km (extraurbano)","Stoffa, Beige",115 g CO2/km (comb.),13961023,Grigio scuro,12 mese,,,,,,,,,,,,,,,,,
9abb68eb-f3a4-4984-b9c1-f820575db1b5,smart,City car,Benzina,Usato,2009,forTwo,Argento,Automatico,999 cm³,3,2,3,5,Euro 4,845 kg,posteriore,Metallizzato,"4,9 l/100 km (comb.)
6,4 l/100 km (urbano)
4,1 l/100 km (extraurbano)","Stoffa, Nero",116 g CO2/km (comb.),13961117,Argento,12 mese,1,,,Sì,,,,,,,,,,,,,
9a11fdec-40e6-4336-9c82-17b991a60566,Suzuki,City car,Benzina,Usato,2020,Ignis,Grigio,Automatico,1.248 cm³,5,4,4,,Euro 6d,,anteriore,Metallizzato,,"Stoffa, Grigio",,998,,15 mese,,,,,,,Italia,,,,,,,,,,
9eb9ec0c-1d8d-4434-a505-b84e212fe79c,Fiat,City car,Benzina,Usato,2008,500,Bianco,Automatico,1.242 cm³,3,4,4,5,Euro 4,940 kg,anteriore,,"5,1 l/100 km (comb.)
6,4 l/100 km (urbano)
4,3 l/100 km (extraurbano)","Stoffa, Beige",119 g CO2/km (comb.),2088038,BIANCO,Sì,3,,,,,Sì,,,,,,,,,,,
61f20412-593f-4481-aa0a-e90481468615,Renault,City car,Benzina,Usato,2004,Twingo,Nero,Manuale,1.149 cm³,3,4,4,5,Euro 3,915 kg,anteriore,Metallizzato,"6 l/100 km (comb.)
7,5 l/100 km (urbano)
5,1 l/100 km (extraurbano)","Stoffa, Grigio",143 g CO2/km (comb.),13960906,Nero,,,,,,,Sì,,,,,,,,,,,
f8eb7f1d-fc34-4b38-ab22-a4d67b332f53,Fiat,City car,Benzina,Usato,2008,500,Bianco,Automatico,1.242 cm³,3,4,4,5,Euro 4,940 kg,anteriore,,"5,1 l/100 km (comb.)
6,4 l/100 km (urbano)
4,3 l/100 km (extraurbano)","Stoffa, Beige",119 g CO2/km (comb.),2088038,BIANCO,Sì,3,,,,,Sì,,,,,,,,,,,
1e4ca6ac-d604-4c38-a7d8-ad9c46449d54,Opel,City car,Benzina,Usato,2015,Adam,Nero,Automatico,1.398 cm³,,,4,6,Euro 6,,anteriore,,,,,0030092020,,,1,Sì,,,,,Italia,,,,,,,,,,
